player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Rahul Tewatia,India,28,ALL-ROUNDER,40,900.0,GT,Uncapped,2022,22.5,False
KS Bharat,India,28,WICKETKEEPER,20,200.0,DC,Uncapped,2022,10.0,False
Sheldon Jackson,India,35,WICKETKEEPER,30,60.0,KKR,Uncapped,2022,2.0,False
N Jagadeesan,India,26,WICKETKEEPER,20,20.0,CSK,Uncapped,2022,1.0,False
Anuj Rawat,India,22,WICKETKEEPER,20,340.0,RCB,Uncapped,2022,17.0,False
Jitesh Sharma,India,28,WICKETKEEPER,20,20.0,PK,Uncapped,2022,1.0,False
Prabhsimran Singh,India,21,WICKETKEEPER,20,60.0,PK,Uncapped,2022,3.0,False
Vishnu Vinod,India,28,WICKETKEEPER,20,50.0,SRH,Uncapped,2022,2.5,False
KM Asif,India,28,BOWLER,20,20.0,CSK,Uncapped,2022,1.0,False
Akash Deep,India,25,BOWLER,20,20.0,RCB,Uncapped,2022,1.0,False
Tushar Deshpande,India,26,BOWLER,20,20.0,CSK,Uncapped,2022,1.0,False
Avesh Khan,India,25,BOWLER,20,1000.0,LSG,Uncapped,2022,50.0,False
Ishan Porel,India,23,BOWLER,20,25.0,PK,Uncapped,2022,1.25,False
Ankit Singh Rajpoot,India,28,BOWLER,20,50.0,LSG,Uncapped,2022,2.5,False
Basil Thampi,India,28,BOWLER,30,30.0,MI,Uncapped,2022,1.0,False
Kartik Tyagi,India,21,BOWLER,20,400.0,SRH,Uncapped,2022,20.0,False
Noor Ahmad,Afghanistan,17,BOWLER,30,30.0,GT,Uncapped,2022,1.0,True
Murugan Ashwin,India,31,BOWLER,20,160.0,MI,Uncapped,2022,8.0,False
KC Cariappa,India,27,BOWLER,20,30.0,RR,Uncapped,2022,1.5,False
Shreyas Gopal,India,28,BOWLER,20,75.0,SRH,Uncapped,2022,3.75,False
R Sai Kishore,India,25,BOWLER,20,300.0,GT,Uncapped,2022,15.0,False
Jagadeesha Suchith,India,28,BOWLER,20,20.0,SRH,Uncapped,2022,1.0,False
Aiden Markram,South Africa,27,BATSMAN,100,260.0,SRH,Capped,2022,2.6,True
Ajinkya Rahane,India,33,BATSMAN,100,100.0,KKR,Capped,2022,1.0,False
Mandeep Singh,India,30,BATSMAN,50,110.0,DC,Capped,2022,2.2,False
Dominic Drakes,West Indies,24,ALL-ROUNDER,75,110.0,GT,Capped,2022,1.4666666666666666,True
Shivam Dube,India,28,ALL-ROUNDER,50,400.0,CSK,Capped,2022,8.0,False
K Gowtham,India,33,ALL-ROUNDER,50,90.0,LSG,Capped,2022,1.8,False
Marco Jansen,South Africa,21,ALL-ROUNDER,50,420.0,SRH,Capped,2022,8.4,True
Chris Jordan,England,33,ALL-ROUNDER,200,360.0,CSK,Capped,2022,1.8,True
Liam Livingstone,England,28,ALL-ROUNDER,100,1150.0,PK,Capped,2022,11.5,True
James Neesham,New Zealand,31,ALL-ROUNDER,150,150.0,RR,Capped,2022,1.0,True
Vijay Shankar,India,31,ALL-ROUNDER,50,140.0,GT,Capped,2022,2.8,False
Odean Smith,West Indies,25,ALL-ROUNDER,100,600.0,PK,Capped,2022,6.0,True
Jayant Yadav,India,32,ALL-ROUNDER,100,170.0,GT,Capped,2022,1.7,False
Syed Khaleel Ahmed,India,24,BOWLER,50,525.0,DC,Capped,2022,10.5,False
Dushmanta Chameera,Sri Lanka,30,BOWLER,50,200.0,LSG,Capped,2022,4.0,True
Nathan Coulter-Nile,Australia,34,BOWLER,200,200.0,RR,Capped,2022,1.0,True
Lungisani Ngidi,South Africa,26,BOWLER,50,50.0,DC,Capped,2022,1.0,True
Navdeep Saini,India,29,BOWLER,75,260.0,RR,Capped,2022,3.466666666666667,False
Chetan Sakariya,India,24,BOWLER,50,420.0,DC,Capped,2022,8.4,False
Sandeep Sharma,India,28,BOWLER,50,50.0,PK,Capped,2022,1.0,False
Jaydev Unadkat,India,30,BOWLER,75,130.0,MI,Capped,2022,1.7333333333333334,False
Mayank Markande,India,24,BOWLER,50,65.0,MI,Capped,2022,1.3,False
Shahbaz Nadeem,India,32,BOWLER,50,50.0,LSG,Capped,2022,1.0,False
Karn Sharma,India,34,BOWLER,50,50.0,RCB,Capped,2022,1.0,False
Maheesh Theekshana,Sri Lanka,21,BOWLER,50,70.0,CSK,Capped,2022,1.4,True
Rinku Singh,India,24,BATSMAN,20,55.0,KKR,Uncapped,2022,2.75,False
